respondent_id,race,gender,sexual_orientation,education,employment,income,age,ethnicity,state
79991,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Bisexual,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Prefer Not To Answer,98,non-hispanic,South Carolina
182416,Other,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Student,Annual Income: 25k 35k,74,non-hispanic,Hawaii
3490,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: more 200k,106,non-hispanic,California
327919,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Bisexual,Highest Grade: College Graduate,Employment Status: Out Of Work One Or More,Annual Income: more 200k,55,non-hispanic,Wisconsin
354941,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Student,Annual Income: 35k 50k,42,hispanic,New Mexico
367289,What Race Ethnicity: Black,Gender Identity: Woman,Skip,Highest Grade: College One to Three,Employment Status: Out Of Work One Or More,Annual Income: 25k 35k,19,non-hispanic,Wyoming
336202,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 75k 100k,61,non-hispanic,Montana
81248,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Annual Income: 25k 35k,63,non-hispanic,Minnesota
30089,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Skip,119,non-hispanic,New Hampshire
292414,What Race Ethnicity: Asian,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Self Employed,Annual Income: 10k 25k,88,non-hispanic,New Hampshire
81710,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 35k 50k,58,hispanic,District of Columbia
165208,More than one race/ethnicity,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Out Of Work Less Than One,Annual Income: 10k 25k,70,non-hispanic,North Carolina
230274,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Self Employed,Annual Income: 25k 35k,21,hispanic,Texas
309599,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Student,Annual Income: 10k 25k,48,non-hispanic,Virginia
122826,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Homemaker,Prefer Not To Answer,69,non-hispanic,Florida
166916,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Homemaker,Prefer Not To Answer,58,non-hispanic,Delaware
214006,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Retired,Annual Income: more 200k,26,non-hispanic,Idaho
122306,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Skip,74,non-hispanic,Nebraska
360817,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Annual Income: 75k 100k,119,non-hispanic,Alaska
285561,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: None,Highest Grade: College Graduate,Employment Status: Retired,Annual Income: 50k 75k,19,non-hispanic,Ohio
326335,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Student,Skip,34,non-hispanic,Texas
146921,What Race Ethnicity: Hispanic,Skip,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Unable To Work,Skip,66,hispanic,Maine
150951,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Unable To Work,Annual Income: less 10k,119,non-hispanic,Utah
115722,What Race Ethnicity: White,Gender Identity: Man,Skip,Highest Grade: College Graduate,Employment Status: Employed For Wages,Prefer Not To Answer,109,non-hispanic,New Hampshire
307806,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Homemaker,Annual Income: less 10k,36,non-hispanic,Missouri
314035,Skip,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Prefer Not To Answer,39,non-hispanic,Idaho
234763,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 10k 25k,102,hispanic,Pennsylvania
317551,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 25k 35k,29,non-hispanic,Colorado
322521,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: 35k 50k,65,non-hispanic,Florida
370533,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: less 10k,28,non-hispanic,Arizona
48659,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Out Of Work Less Than One,Annual Income: 10k 25k,83,non-hispanic,California
33013,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Skip,Annual Income: 10k 25k,27,hispanic,Utah
362451,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Gay,Highest Grade: College One to Three,Employment Status: Student,Annual Income: 100k 150k,83,non-hispanic,Arkansas
198891,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Student,Annual Income: 50k 75k,74,non-hispanic,Connecticut
342845,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 35k 50k,116,non-hispanic,Michigan
142060,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Retired,Skip,73,non-hispanic,Delaware
127316,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Prefer Not To Answer,50,hispanic,North Carolina
193348,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 35k 50k,45,non-hispanic,Colorado
113013,What Race Ethnicity: Asian,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: 75k 100k,97,non-hispanic,Pennsylvania
108797,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Lesbian,Highest Grade: College Graduate,Employment Status: Self Employed,Annual Income: 35k 50k,58,non-hispanic,Maine
18753,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Self Employed,Annual Income: 10k 25k,39,non-hispanic,Michigan
58649,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Unable To Work,Annual Income: less 10k,70,non-hispanic,Texas
75875,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 75k 100k,34,non-hispanic,Missouri
254074,What Race Ethnicity: White,Gender Identity: Man,Prefer Not To Answer,Highest Grade: College One to Three,Employment Status: Retired,Skip,74,non-hispanic,North Dakota
239890,What Race Ethnicity: Black,Skip,Skip,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Prefer Not To Answer,54,non-hispanic,Michigan
134091,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Employed For Wages,Annual Income: 100k 150k,24,non-hispanic,Tennessee
160947,Skip,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 35k 50k,24,non-hispanic,Kansas
284641,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 25k 35k,67,non-hispanic,Michigan
225924,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Retired,Annual Income: 100k 150k,73,non-hispanic,Indiana
205450,Other,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 25k 35k,29,non-hispanic,Nevada
357106,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Unable To Work,Annual Income: less 10k,106,hispanic,Michigan
191937,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Bisexual,Highest Grade: One Through Four,Employment Status: Employed For Wages,Annual Income: less 10k,18,non-hispanic,Alabama
265226,What Race Ethnicity: Hispanic,Gender Identity: Woman,Prefer Not To Answer,Highest Grade: Advanced Degree,Employment Status: Unable To Work,Annual Income: 50k 75k,78,hispanic,Oregon
131422,More than one race/ethnicity,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Unable To Work,Annual Income: 35k 50k,33,non-hispanic,New Jersey
53052,Skip,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Prefer Not To Answer,81,non-hispanic,Indiana
341265,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: One Through Four,Prefer Not To Answer,Annual Income: 10k 25k,68,non-hispanic,Illinois
215601,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Retired,Annual Income: 150k 200k,105,non-hispanic,Virginia
284168,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Annual Income: 10k 25k,74,non-hispanic,Kentucky
326679,Skip,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Prefer Not To Answer,77,non-hispanic,California
175320,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Gay,Highest Grade: Twelve Or GED,Employment Status: Out Of Work One Or More,Annual Income: less 10k,23,hispanic,Virginia
324415,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Bisexual,Highest Grade: Advanced Degree,Employment Status: Retired,Annual Income: less 10k,66,non-hispanic,Massachusetts
233964,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Skip,40,non-hispanic,Oregon
369482,What Race Ethnicity: Asian,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: 50k 75k,100,non-hispanic,Kansas
318092,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 35k 50k,31,non-hispanic,New Hampshire
49881,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Homemaker,Annual Income: 50k 75k,40,non-hispanic,Mississippi
53396,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Prefer Not To Answer,110,hispanic,Arkansas
6356,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 10k 25k,85,non-hispanic,Washington
275404,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Annual Income: 100k 150k,45,non-hispanic,Alabama
108348,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Student,Annual Income: 25k 35k,110,hispanic,Mississippi
259143,Other,Gender Identity: Woman,Sexual Orientation: Lesbian,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: less 10k,85,non-hispanic,Connecticut
115145,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Annual Income: 150k 200k,115,non-hispanic,Wisconsin
107306,What Race Ethnicity: Asian,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 35k 50k,108,non-hispanic,Maine
52021,What Race Ethnicity: Black,Skip,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: more 200k,67,non-hispanic,New Hampshire
315750,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Skip,75,non-hispanic,New York
256823,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Out Of Work One Or More,Annual Income: 10k 25k,68,non-hispanic,New York
219203,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 10k 25k,58,non-hispanic,Virginia
255352,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Unable To Work,Annual Income: 10k 25k,67,non-hispanic,Maryland
46647,More than one race/ethnicity,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: less 10k,59,non-hispanic,New Mexico
78860,Skip,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Out Of Work One Or More,Annual Income: 75k 100k,115,non-hispanic,Ohio
91136,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Unable To Work,Annual Income: 150k 200k,19,non-hispanic,Virginia
269251,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Five Through Eight,Employment Status: Retired,Annual Income: 75k 100k,51,non-hispanic,Minnesota
243985,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Self Employed,Annual Income: 50k 75k,113,non-hispanic,Maryland
81541,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Skip,Annual Income: 25k 35k,66,non-hispanic,Pennsylvania
59876,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Out Of Work Less Than One,Annual Income: 100k 150k,26,non-hispanic,Idaho
339300,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 25k 35k,51,non-hispanic,New York
279881,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Unable To Work,Annual Income: 10k 25k,24,hispanic,Montana
257091,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 10k 25k,77,non-hispanic,North Dakota
119309,What Race Ethnicity: Hispanic,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Retired,Annual Income: 35k 50k,98,hispanic,New York
371888,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Annual Income: 150k 200k,71,non-hispanic,Hawaii
120038,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Unable To Work,Annual Income: 50k 75k,29,non-hispanic,Massachusetts
116616,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Employed For Wages,Annual Income: 150k 200k,38,non-hispanic,North Dakota
163270,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: None,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: 150k 200k,75,non-hispanic,North Carolina
94612,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Annual Income: 35k 50k,76,non-hispanic,North Carolina
137531,Skip,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Annual Income: less 10k,43,non-hispanic,Alaska
321772,What Race Ethnicity: Black,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Out Of Work Less Than One,Annual Income: 25k 35k,73,non-hispanic,Michigan
206791,What Race Ethnicity: White,Gender Identity: Transgender,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 50k 75k,111,non-hispanic,Indiana
