respondent_id,race,gender,sexual_orientation,education,employment,income,age,ethnicity,state
109594,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Retired,Annual Income: 75k 100k,34,non-hispanic,West Virginia
152621,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Employed For Wages,Skip,44,non-hispanic,South Carolina
97338,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Prefer Not To Answer,Annual Income: 100k 150k,82,non-hispanic,Wyoming
52136,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Twelve Or GED,Employment Status: Employed For Wages,Skip,75,non-hispanic,South Dakota
185514,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Employment Status: Self Employed,Annual Income: 100k 150k,60,non-hispanic,Michigan
99067,What Race Ethnicity: Black,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: College One to Three,Skip,Annual Income: 35k 50k,80,non-hispanic,Hawaii
77678,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Employed For Wages,Annual Income: 150k 200k,119,non-hispanic,Illinois
92714,More than one race/ethnicity,Gender Identity: Woman,Sexual Orientation: Straight,Skip,Employment Status: Retired,Prefer Not To Answer,59,non-hispanic,Kansas
183213,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Employment Status: Unable To Work,Annual Income: 35k 50k,69,hispanic,North Carolina
236744,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Skip,Employment Status: Employed For Wages,Annual Income: 75k 100k,113,hispanic,Virginia
54493,What Race Ethnicity: White,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Nine Through Eleven,Prefer Not To Answer,Skip,30,non-hispanic,Maryland
4921,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Skip,67,non-hispanic,Louisiana
86829,What Race Ethnicity: Asian,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Prefer Not To Answer,Annual Income: 35k 50k,50,non-hispanic,Kentucky
251975,What Race Ethnicity: Hispanic,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Skip,Annual Income: 75k 100k,100,hispanic,Arkansas
185758,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: Advanced Degree,Skip,Annual Income: 150k 200k,46,non-hispanic,Delaware
298934,Other,Gender Identity: Man,Sexual Orientation: Straight,Highest Grade: Five Through Eight,Employment Status: Employed For Wages,Annual Income: 50k 75k,67,non-hispanic,Alabama
148218,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College One to Three,Employment Status: Student,Annual Income: 100k 150k,28,non-hispanic,Nevada
291288,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Skip,Employment Status: Unable To Work,Skip,108,non-hispanic,New Hampshire
263396,What Race Ethnicity: White,Gender Identity: Woman,Sexual Orientation: Straight,Highest Grade: College Graduate,Employment Status: Retired,Annual Income: 100k 150k,29,non-hispanic,South Dakota
